,0,Aperture Area (pixels),Aperture Sum,EXP-TIME,Median Flux Background Subtracted,OBS-TIME,Sum with bkg subtraction,Unnamed: 0,Unnamed: 0.1,id,x,y,JulianDate,phase,mag,residual,residualFactor
0,,1385.4423602330987,2115.9429861284143,30.0,0.1994008719921112,2023-01-23 20:56:39.692,1389.9683555921788,11.0,11.0,11.0,3870.3847723150434,2096.7021056318595,2459968.3726816205,0.29616243877815385,-7.8575122827429045,-283.537198714203,-0.20398824014479486
1,,1385.442360233099,2105.2697352287823,30.0,0.1533174216747284,2023-01-23 20:58:53.056,1380.6276787839265,18.0,18.0,18.0,3871.5931321389935,2097.527318352028,2459968.3742251853,0.30116297241150214,-7.8501914396570625,-274.1965219059507,-0.19860279937851621
13,,1385.4423602330987,1979.7218544470425,30.0,0.1652201116085052,2023-01-23 21:03:19.106,1290.0101348187618,14.0,14.0,14.0,3871.7517376491855,2097.1391077913167,2459968.3773044674,0.31113861748040905,-7.776482805745357,-183.578977940786,-0.14230816718860714
14,,1385.442360233099,1864.809573420336,30.0,0.1805145442485809,2023-01-23 21:05:30.506,1193.1482581540893,11.0,11.0,11.0,3871.45829334574,2097.6334743795032,2459968.378825301,0.31606551091763213,-7.691736028911208,-86.71710127611345,-0.07267923385336272
15,,1385.442360233099,1702.6776266245315,30.0,0.1587646901607513,2023-01-23 21:07:42.481,1123.1030276516465,21.0,21.0,21.0,3871.6347971822006,2097.1874966287496,2459968.3803527895,0.32101396464745013,-7.626048995035265,-16.671870773670662,-0.014844471400393897
16,,1385.442360233099,1449.5728436205109,30.0,0.1418843269348144,2023-01-23 21:09:57.659,1107.9519050626257,31.0,31.0,31.0,3871.501584419202,2097.437960976894,2459968.3819173495,0.3260825145774838,-7.611302271424956,-1.5207481846498467,-0.0013725759915218416
28,,1385.4423602330987,1392.6743827449154,30.0,0.149861179292202,2023-01-23 21:14:20.434,1057.0788992110977,29.0,29.0,29.0,3872.311756317937,2097.5467752302548,2459968.384958727,0.33593536312965216,-7.560268509454008,49.35225766687813,0.04668739268536145
51,,1385.442360233099,1311.4440404554089,30.0,0.1224859207868576,2023-01-23 21:20:58.316,983.075306390154,30.0,30.0,30.0,3870.935718561854,2097.350243510978,2459968.3895638427,0.35085410051780597,-7.481466968275684,123.35585048782184,0.12547955348485326
52,,1385.4423602330987,1303.0497271446072,30.0,0.1283024549484253,2023-01-23 21:23:10.435,982.8597212736502,37.0,37.0,37.0,3871.66629791252,2097.947952132633,2459968.3910929975,0.3558079518635563,-7.4812288438576955,123.57143560432564,0.12572642151231322
53,,1385.442360233099,1285.736144018278,30.0,0.1459455490112304,2023-01-23 21:25:22.220,964.1725636818712,29.0,29.0,29.0,3871.598507336121,2097.2942610768814,2459968.392618287,0.3607492806800014,-7.460386922796175,142.25859319610458,0.1475447430829849
54,,1385.4423602330987,1280.6503991573736,30.0,0.147848978638649,2023-01-23 21:27:33.112,958.4793278806906,21.0,21.0,21.0,3871.237372121917,2097.4087390306927,2459968.394133241,0.36565712708011955,-7.453956876540265,147.95182899728525,0.15436100152981283
55,,1385.442360233099,1279.1833721651997,30.0,0.1410146653652191,2023-01-23 21:29:44.355,958.5717808768778,20.0,20.0,20.0,3871.415331147608,2097.653801256328,2459968.395652257,0.3705781326204774,-7.454061599429309,147.85937600109798,0.1542496649190318
56,,1385.4423602330987,1255.7768431722088,30.0,0.1284356862306594,2023-01-23 21:31:56.773,933.7802196099732,26.0,26.0,26.0,3871.0635367913055,2097.468012774436,2459968.3971848725,0.37554319555974613,-7.425611674936783,172.65093726800262,0.1848946182862135
57,,1385.442360233099,1230.8060559897272,30.0,0.1338593065738678,2023-01-23 21:34:09.624,912.6942075482888,40.0,40.0,40.0,3871.787590779454,2097.7953906598823,2459968.3987225,0.3805244950949566,-7.400813235677287,193.73694932968704,0.21226928770602152
58,,1385.442360233099,1233.4741748343272,30.0,0.136590763926506,2023-01-23 21:36:21.895,914.9075649427288,28.0,28.0,28.0,3871.700563699444,2097.7889147528253,2459968.400253414,0.3854840457679826,-7.4034430464689684,191.52359193524705,0.20933654860230172
59,,1385.442360233099,1242.934392358291,30.0,0.1266396418213844,2023-01-23 21:38:33.492,923.972095825396,26.0,26.0,26.0,3871.021646737236,2097.870990017139,2459968.401776528,0.3904183266074473,-7.4141471390566425,182.45906105257984,0.19747247982590518
71,,1385.4423602330987,1236.296526105863,30.0,0.1344692856073379,2023-01-23 21:42:56.040,917.9584943319408,29.0,29.0,29.0,3870.686627163972,2097.3079720423966,2459968.4048152776,0.40026266237406344,-7.4070576123437455,188.47266254603505,0.20531719430648016
72,,1385.442360233099,1247.8708493016072,30.0,0.1161255985498428,2023-01-23 21:47:18.674,923.1190253754976,25.0,25.0,25.0,3872.1560069723055,2097.4251470276704,2459968.407855023,0.4101102249434965,-7.4131442545450055,183.31213150247822,0.19857908510542532
73,,1385.442360233099,1270.2267687184108,30.0,0.1191085651516914,2023-01-23 21:49:30.680,935.3299844091802,28.0,28.0,28.0,3871.706427362531,2097.8688176153705,2459968.4093828704,0.4150598402619864,-7.427412142489028,171.10117246879565,0.1829313454297898
74,,1385.4423602330987,1306.6853292334408,30.0,0.130676120519638,2023-01-23 21:51:41.782,961.0253790015472,38.0,38.0,38.0,3871.534762166817,2097.8890209619103,2459968.4109002547,0.41997555981960893,-7.4568371419465755,145.4057778764286,0.15130274501959276
75,,1385.442360233099,1337.8873070398663,30.0,0.1289706230163574,2023-01-23 21:53:55.096,991.0427226363248,23.0,23.0,23.0,3871.807523424018,2097.8404342950644,2459968.4124432406,0.42497421831695836,-7.490230941978268,115.388434241651,0.11643134206636437
76,,1385.4423602330987,1380.701243709996,30.0,0.1442799121141433,2023-01-23 21:56:06.348,1027.2821068758758,30.0,30.0,30.0,3870.761520135705,2097.0915242605483,2459968.413962361,0.4298955617740208,-7.529224309176753,79.14905000210001,0.0770470443049033
77,,1385.442360233099,1414.6214888903296,30.0,0.1391667425632476,2023-01-23 21:58:17.674,1060.988411030787,34.0,34.0,34.0,3870.503747254724,2097.278107378424,2459968.415482338,0.4348196809754418,-7.564276600533589,45.44274584718892,0.042830577011712806
78,,1385.442360233099,1398.2428058642574,30.0,0.1611494123935699,2023-01-23 22:00:29.388,1045.9237425108531,29.0,29.0,29.0,3871.979584797493,2098.1267529955207,2459968.4170068055,0.439758347189282,-7.54875005402885,60.50741436712269,0.0578506939921529
79,,1385.4423602330987,1412.328616043868,30.0,0.1412452161312103,2023-01-23 22:02:42.340,1058.8792553690434,31.0,31.0,31.0,3871.4236527827447,2097.866782515497,2459968.418545602,0.44474343320185133,-7.562116100182216,47.55190150893236,0.04490776570399374
91,,1385.4423602330987,1434.3340294039326,30.0,0.1593008190393448,2023-01-23 22:20:41.995,1094.663024044272,38.0,38.0,38.0,3870.564583299944,2097.1927642929472,2459968.4310416086,0.4852255074375147,-7.598201121408029,11.768132833703703,0.010750461626287431
92,,1385.4423602330987,1448.7074516653047,30.0,0.1352354288101196,2023-01-23 22:22:54.829,1107.5106378228763,51.0,51.0,51.0,3870.533084163637,2097.206754916198,2459968.432579039,0.49020616885323404,-7.610869765963698,-1.0794809449005243,-0.0009746912652889256
93,,1385.4423602330987,1385.2876397047526,30.0,0.2453497648239135,2023-01-23 22:25:08.135,1017.8011630457836,40.0,40.0,40.0,3868.3571774940456,2095.6823042680585,2459968.434121933,0.49520452865635356,-7.519157357019347,88.62999383219221,0.08707987085312988
94,,1385.442360233099,1488.6905423336216,30.0,0.158833310008049,2023-01-23 22:27:21.542,1138.737629973824,39.0,39.0,39.0,3869.046531995248,2096.4449243970257,2459968.4356659953,0.500206674936832,-7.641059180741246,-32.306473095848105,-0.028370427256883338
95,,1385.4423602330987,1459.9444103130736,30.0,0.19341741502285,2023-01-23 22:29:33.733,1114.2481047645952,22.0,22.0,22.0,3871.3894284521566,2097.5525719900807,2459968.4371959837,0.5051632265991052,-7.617454760157868,-7.816947886619346,-0.007015446428128155
96,,1385.4423602330987,1482.091808620569,30.0,0.1532264351844787,2023-01-23 22:35:00.708,1134.3216810295585,32.0,32.0,32.0,3871.419596049501,2098.248302606396,2459968.4409804167,0.5174232791040951,-7.636840582787511,-27.890524151582667,-0.02458784365848323
