,0,Aperture Area (pixels),Aperture Sum,EXP-TIME,Median Flux Background Subtracted,OBS-TIME,Sum with bkg subtraction,Unnamed: 0,Unnamed: 0.1,id,x,y,JulianDate,phase,mag,residual,residualFactor
0,,1385.442360233099,2277.9932519537488,30.0,0.2209098935127258,2023-01-23 20:56:01.555,1532.3444288268215,26.0,26.0,26.0,3872.277626235408,2097.51539214779,2459968.3722402197,0.2897773110591965,-7.963390984270359,-311.50816764823935,-0.20328860913256505
1,,1385.4423602330987,2256.9323884442147,30.0,0.2123783826828003,2023-01-23 20:58:15.164,1508.6786170795372,29.0,29.0,29.0,3871.9469981498514,2097.0549404886187,2459968.3737866203,0.2947870318029494,-7.946491837520173,-287.842355900955,-0.19079103570656628
2,,1385.4423602330987,2197.882265633313,30.0,0.2026518583297729,2023-01-23 21:00:27.857,1472.4218119936493,18.0,18.0,18.0,3869.879012608325,2097.244726904584,2459968.3753224188,0.2997624057273768,-7.920080605810379,-251.5855508150671,-0.17086513441037793
3,,1385.4423602330987,2120.521235070843,30.0,0.1948471367359161,2023-01-23 21:02:41.380,1411.8613556591715,16.0,16.0,16.0,3871.207844744579,2097.100965205797,2459968.3768678242,0.3047689026854261,-7.874480128070456,-191.02509448058936,-0.13530017923849424
4,,1385.442360233099,1876.914157330264,30.0,0.206280842423439,2023-01-23 21:07:04.819,1219.9063881435095,12.0,12.0,12.0,3871.296164552296,2097.553828442153,2459968.379916887,0.3146466484576467,-7.715816263833287,0.9298730350726601,0.0007622495005438647
5,,1385.4423602330987,1577.2450003578865,30.0,0.1107753068208694,2023-01-23 21:09:19.879,1156.648505409317,49.0,49.0,49.0,3871.502327912776,2097.234951402917,2459968.381480081,0.31971077379083035,-7.658003502492639,64.1877557692651,0.05549460831797833
6,,1385.442360233099,1547.1667416320447,30.0,0.138736292719841,2023-01-23 21:11:31.217,1146.186035418052,51.0,51.0,51.0,3871.92531224001,2097.418765080824,2459968.383000197,0.32463534254215304,-7.648137782294758,74.65022576053025,0.06512924032729368
7,,1385.442360233099,1528.7865868238891,30.0,0.1469371765851974,2023-01-23 21:13:42.847,1128.2855395681777,36.0,36.0,36.0,3871.260206202788,2097.644939701888,2459968.384523692,0.3295708588895687,-7.631047555337007,92.55072161040448,0.08202774773292397
8,,1385.4423602330987,1501.4935128776751,30.0,0.1543447077274322,2023-01-23 21:15:53.688,1097.9397131979315,23.0,23.0,23.0,3871.0629016345897,2097.3189120409297,2459968.3860380556,0.3344767924397701,-7.601446235202585,122.89654798065067,0.11193378516448238
9,,1385.442360233099,1490.86528481674,30.0,0.1391239166259765,2023-01-23 21:18:07.131,1088.4921968156573,39.0,39.0,39.0,3871.2177636931583,2098.041370770736,2459968.387582535,0.33948028887850995,-7.592063300043499,132.34406436292488,0.12158476170071998
10,,1385.4423602330987,1442.1824611400643,30.0,0.1413902938365936,2023-01-23 21:20:20.651,1049.6012781861705,28.0,28.0,28.0,3871.4419331240847,2096.9769587002,2459968.389127905,0.34448667118624887,-7.552560877270423,171.2349829924117,0.1631428872574594
11,,1385.442360233099,1422.0505472073507,30.0,0.1838793456554412,2023-01-23 21:22:32.829,1042.7324278582528,23.0,23.0,23.0,3870.3875317827774,2097.6673029820668,2459968.390657743,0.34944273558470257,-7.5454321996068305,178.1038333203294,0.17080492421833504
12,,1385.442360233099,1399.0663889878826,30.0,0.1527858972549438,2023-01-23 21:24:44.423,1016.5380600883514,29.0,29.0,29.0,3871.015704421644,2097.373244270874,2459968.392180822,0.3543769032824135,-7.517809109124549,204.2982010902308,0.20097447317661124
35,,1385.442360233099,1383.7674430561449,30.0,0.1308764517307281,2023-01-23 21:31:18.925,1005.3987734570396,47.0,47.0,47.0,3871.471485571577,2097.6625779031483,2459968.396746817,0.3691689053122415,-7.505845877679802,215.43748772154254,0.21428063511631895
36,,1385.4423602330987,1367.8136041204234,30.0,0.1400215774774551,2023-01-23 21:33:32.332,988.0222256700242,32.0,32.0,32.0,3871.350488373165,2097.9098086716613,2459968.3982908796,0.37417105159271996,-7.48691678550065,232.81403550855794,0.2356364355575866
37,,1385.442360233099,1349.423172929408,30.0,0.1344572901725769,2023-01-23 21:35:43.919,968.0648617539712,27.0,27.0,27.0,3871.411852012683,2096.88803994254,2459968.3998138774,0.3791049568015622,-7.464761141613262,252.771399424611,0.2611099828234976
38,,1385.4423602330987,1357.5233039514849,30.0,0.136984035372734,2023-01-23 21:37:55.518,972.8886582517245,29.0,29.0,29.0,3872.19262928479,2097.739176417648,2459968.401337014,0.384039311560306,-7.470157851252165,247.9476029268577,0.2548571214432885
39,,1385.4423602330987,1369.246576394867,30.0,0.1310232728719711,2023-01-23 21:40:06.267,984.5749560375232,34.0,34.0,34.0,3871.547768794463,2097.612165493242,2459968.4028503126,0.38894179504129633,-7.4831219618108245,236.26130514105898,0.23996274096987574
40,,1385.442360233099,1359.4565844857843,30.0,0.1386500298976898,2023-01-23 21:42:18.214,970.1347041787684,37.0,37.0,37.0,3872.0895903141472,2097.9638546778547,2459968.404377477,0.39388919730708283,-7.467080101696179,250.70155699981376,0.2584193266357128
41,,1385.442360233099,1373.3809241965369,30.0,0.1418124139308929,2023-01-23 21:44:29.192,983.0382873459534,37.0,37.0,37.0,3872.083195395978,2098.287232613988,2459968.405893426,0.39880026749290454,-7.481426082625245,237.7979738326287,0.24190102958720489
42,,1385.442360233099,1368.9955602751363,30.0,0.1325347274541854,2023-01-23 21:46:41.425,972.4207220529904,25.0,25.0,25.0,3872.3307500638193,2098.097800995831,2459968.4074239004,0.40375839408839,-7.469635512453591,248.41553912559175,0.25546096817140307
43,,1385.442360233099,1405.601745955435,30.0,0.154778316617012,2023-01-23 21:48:52.827,1008.1630509092248,34.0,34.0,34.0,3871.910176928589,2097.836622578142,2459968.4089447567,0.40868536144489215,-7.508826941344181,212.67321026935736,0.21095120484484656
44,,1385.4423602330987,1451.855619295186,30.0,0.1735444962978363,2023-01-23 21:51:04.150,1039.0473786863513,46.0,46.0,46.0,3870.875491615202,2097.5755948617107,2459968.410464699,0.4136093675045595,-7.541588377634315,181.78888249223087,0.1749572601030602
45,,1385.442360233099,1496.4755285828496,30.0,0.1390742659568786,2023-01-23 21:53:16.830,1073.286430927091,34.0,34.0,34.0,3871.738579043742,2097.7579221667893,2459968.4120003474,0.41858425567372404,-7.576789097018177,147.54983025149113,0.13747479330754184
46,,1385.442360233099,1574.4768611313802,30.0,0.1575444042682647,2023-01-23 21:55:28.896,1145.4431663453315,41.0,41.0,41.0,3870.745589538113,2097.607819343107,2459968.413528889,0.4235361202502785,-7.647433863986091,75.39309483325064,0.06582002237073098
47,,1385.442360233099,1602.8813254454433,30.0,0.1793980747461319,2023-01-23 21:57:40.179,1174.0869646657366,36.0,36.0,36.0,3871.946926422588,2097.8259050787487,2459968.4150483683,0.4284586268045695,-7.674250665779131,46.7492965128456,0.039817575630911775
59,,1385.442360233099,1605.46714857283,30.0,0.1692919433116912,2023-01-23 22:02:03.585,1174.51405409976,36.0,36.0,36.0,3871.772014178796,2097.9098295821927,2459968.4180970485,0.4383351340517257,-7.674645544656041,46.3222070788222,0.03943946597925317
60,,1385.442360233099,1614.432879911832,30.0,0.1546918153762817,2023-01-23 22:04:17.400,1181.8397911206562,33.0,33.0,33.0,3871.116869214409,2097.502925556677,2459968.4196458333,0.443352578605868,-7.681396520153311,38.99647005792599,0.03299640979336832
61,,1385.442360233099,1628.4505005142448,30.0,0.1661276668310165,2023-01-23 22:20:04.250,1205.8243631810035,35.0,35.0,35.0,3870.38593551713,2097.4794452208675,2459968.430604745,0.4788550790952048,-7.703210135894532,15.011897997578671,0.012449489706756961
62,,1385.442360233099,1624.762715690181,30.0,0.1561395078897476,2023-01-23 22:22:15.689,1201.238699067383,40.0,40.0,40.0,3871.272826713567,2098.0443399483856,2459968.43212603,0.4837834343238864,-7.699073287423529,19.597562111199068,0.016314461169469656
74,,1385.442360233099,1710.4592918435324,30.0,0.1665101647377014,2023-01-23 22:26:43.640,1271.9242455171743,49.0,49.0,49.0,3871.6029523263874,2097.9464639558923,2459968.435227315,0.49383036020621357,-7.761153114889501,-51.08798433859215,-0.04016590179694183
75,,1385.4423602330987,1724.2756274905548,30.0,0.2495524734258651,2023-01-23 22:28:56.158,1285.9626562013937,25.0,25.0,25.0,3869.279008330717,2096.746495704935,2459968.4367610877,0.4987991719089233,-7.773070892619128,-65.1263950228115,-0.05064407952186451
76,,1385.4423602330987,1695.7506128836767,30.0,0.1520546376705169,2023-01-23 22:34:22.627,1266.1799081629288,49.0,49.0,49.0,3870.637006724079,2097.649296742816,2459968.440539664,0.5110402512960874,-7.756238544557372,-45.343646984346606,-0.0358113777449957
77,,1385.442360233099,1704.179794592811,30.0,0.1642996072769165,2023-01-23 22:36:34.858,1273.6060258363398,41.0,41.0,41.0,3871.001145703409,2098.2313914328142,2459968.442070116,0.5159983039722937,-7.76258776296043,-52.769764657757605,-0.04143335033540317
78,,1385.4423602330987,1712.9099510458382,30.0,0.1762823462486267,2023-01-23 22:41:00.320,1272.743188926048,39.0,39.0,39.0,3870.9560564749686,2098.121551741177,2459968.445142593,0.5259519029933429,-7.761851953981261,-51.90692774746594,-0.04078350463714951
79,,1385.4423602330987,1715.570998848018,30.0,0.1758370101451873,2023-01-23 22:43:12.670,1279.465379520566,32.0,32.0,32.0,3871.287874997536,2098.335634676042,2459968.4466744214,0.5309144164717605,-7.767571347506826,-58.62911834198394,-0.04582313775770401
80,,1385.4423602330987,1724.9506337371354,30.0,0.1649294793605804,2023-01-23 22:45:24.188,1286.076560148451,29.0,29.0,29.0,3870.864175677204,2098.0070445810434,2459968.44819662,0.5358457329972769,-7.773167057279821,-65.24029896986895,-0.050728161130888114
81,,1385.442360233099,1723.937016992437,30.0,0.1624209284782409,2023-01-23 22:47:35.930,1280.798945789857,36.0,36.0,36.0,3870.565912005737,2097.601415846625,2459968.4497214123,0.5407854506751486,-7.76870240362212,-59.96268461127488,-0.046816625519859746
82,,1385.4423602330987,1691.0422886287888,30.0,0.163086399435997,2023-01-23 22:49:48.730,1250.1022379835476,45.0,45.0,45.0,3871.2509214941297,2098.502722311488,2459968.451258449,0.5457648358518856,-7.7423638316729235,-29.265976804965476,-0.02341086666013203
83,,1385.442360233099,1665.3877671148612,30.0,0.1584691107273101,2023-01-23 22:51:59.705,1226.2806974427149,41.0,41.0,41.0,3871.231204926432,2098.2104475353285,2459968.4527743636,0.5506757944045103,-7.721474730507447,-5.444436264132719,-0.0044397961049917395
84,,1385.442360233099,1691.3108113126923,30.0,0.1649868786334991,2023-01-23 22:54:10.936,1241.2730749449636,32.0,32.0,32.0,3870.935441579737,2097.8321516346928,2459968.454293241,0.5555963503949666,-7.734668337501032,-20.43681376638142,-0.016464397866108198
96,,1385.4423602330987,1760.112331390383,30.0,0.1821658611297607,2023-01-23 22:58:41.616,1307.2755866055184,27.0,27.0,27.0,3869.756730021697,2097.07070700515,2459968.457426111,0.5657456001708301,-7.790917876995945,-86.4393254269362,-0.06612173157106467
97,,1385.442360233099,1717.033894875112,30.0,0.1844218671321869,2023-01-23 23:00:53.729,1266.4936665109744,27.0,27.0,27.0,3870.6975348000014,2098.106745435772,2459968.4589551967,0.5706992267416297,-7.756507555773952,-45.65740533239227,-0.03605024370802619
98,,1385.442360233099,1710.2588270422964,30.0,0.1910496950149536,2023-01-23 23:05:13.195,1254.8665574313254,25.0,25.0,25.0,3870.62656009378,2096.578069172969,2459968.4619582756,0.5804280040466339,-7.746493863442047,-34.030296252743256,-0.027118657399239535
99,,1385.442360233099,1720.059435869807,30.0,0.1627219915390014,2023-01-23 23:07:31.281,1266.6432356471778,42.0,42.0,42.0,3869.961806090762,2097.2436713583784,2459968.463556493,0.5856055909475931,-7.7566357704206546,-45.80697446859563,-0.03616406986549061
100,,1385.442360233099,1723.2127745662074,30.0,0.1651185154914856,2023-01-23 23:09:42.300,1264.3329545058814,23.0,23.0,23.0,3870.417692452264,2097.780969628,2459968.465072917,0.5905181983527091,-7.7546536446427075,-43.496693327299226,-0.03440287874509949
101,,1385.4423602330987,1792.803911824442,30.0,0.17969411611557,2023-01-23 23:11:54.843,1327.977468526749,22.0,22.0,22.0,3870.849582922757,2098.262281996795,2459968.4666069793,0.5954879483776967,-7.807976766312086,-107.14120734816674,-0.08067998884576605
102,,1385.4423602330987,1835.5937527041592,30.0,0.1956202387809753,2023-01-23 23:14:05.670,1360.7902626902635,36.0,36.0,36.0,3870.572762113828,2098.117578603312,2459968.468121181,0.6003933569501607,-7.834477982414027,-139.95400151168133,-0.10284759183608075
103,,1385.442360233099,1926.4720561543832,30.0,0.2502233684062958,2023-01-23 23:16:17.057,1443.7811759516671,15.0,15.0,15.0,3871.4293501589136,2098.611183765282,2459968.4696418634,0.6053197616150076,-7.898753437934869,-222.94491477308497,-0.1544173857413891
104,,1385.442360233099,1947.6493390058847,30.0,0.2020716369152069,2023-01-23 23:18:30.091,1466.2028800258274,33.0,33.0,33.0,3871.1666998612654,2097.8460553852115,2459968.4711816087,0.6103079220661656,-7.915485170611869,-245.36661884724526,-0.1673483405263282
105,,1385.442360233099,1926.1469562662144,30.0,0.1909774094820022,2023-01-23 23:20:43.021,1447.513647322748,36.0,36.0,36.0,3870.2862717999824,2096.830085541997,2459968.4727201504,0.6152921828982109,-7.901556667490951,-226.6773861441659,-0.15659775406153686
106,,1385.442360233099,1933.539204071,30.0,0.229770541191101,2023-01-23 23:22:54.131,1457.918349097293,35.0,35.0,35.0,3869.912205985698,2097.5721943896333,2459968.4742376273,0.6202082026586201,-7.90933300486323,-237.08208791871084,-0.16261684892401979
118,,1385.442360233099,1967.655480350113,30.0,0.1987951248884201,2023-01-23 23:27:17.185,1475.4768947537443,45.0,45.0,45.0,3869.341022010769,2097.104842945133,2459968.477282234,0.6300715130516187,-7.9223310326253245,-254.64063357516216,-0.17258191875492665
119,,1385.442360233099,1863.9505745389129,30.0,0.2031415998935699,2023-01-23 23:29:31.521,1382.2320184137177,25.0,25.0,25.0,3871.076415373654,2098.846093374505,2459968.4788370486,0.6351084919066855,-7.85145237217444,-161.39575723513553,-0.11676459167857878
131,,1385.4423602330987,1820.741099645084,30.0,0.2192234396934509,2023-01-23 23:33:55.320,1347.963308878173,16.0,16.0,16.0,3871.2469266514654,2098.2046347136743,2459968.481890278,0.6449997362444071,-7.824195177514922,-127.12704769959078,-0.09431046591719978
132,,1385.442360233099,1834.5617730640265,30.0,0.2317034900188446,2023-01-23 23:36:06.762,1362.6000672855312,12.0,12.0,12.0,3869.7122614371583,2097.5406785775144,2459968.483411597,0.6499282031062856,-7.8359210151223735,-141.763806106949,-0.10403918912859013
133,,1385.442360233099,1886.0848924253232,30.0,0.2078402936458587,2023-01-23 23:38:20.182,1406.12125966277,27.0,27.0,27.0,3870.261235517866,2097.356487203489,2459968.48495581,0.6549308366505836,-7.87005693636746,-185.28499848418778,-0.13177028454048456
134,,1385.4423602330987,1881.524031471977,30.0,0.2231179028749466,2023-01-23 23:40:32.194,1394.917821992561,19.0,19.0,19.0,3870.164701256372,2098.723741884258,2459968.4864837267,0.6598806767440242,-7.861371557543001,-174.08156081397874,-0.12479700099129361
135,,1385.442360233099,1827.500285591515,30.0,0.159969076514244,2023-01-23 23:42:43.979,1346.5306159564475,34.0,34.0,34.0,3869.936145610656,2097.668995992305,2459968.488009016,0.6648220055604693,-7.82304058094473,-125.69435477786533,-0.09334682278173377
136,,1385.4423602330987,1803.2595186547007,30.0,0.232603371143341,2023-01-23 23:44:55.973,1323.7735629592353,13.0,13.0,13.0,3870.8571292115394,2098.1893307582645,2459968.4895367245,0.6697711713290576,-7.804534258892909,-102.93730178065312,-0.07776050576999097
137,,1385.4423602330987,1607.3715320416295,30.0,0.1888178884983062,2023-01-23 23:49:19.332,1170.5540008816324,22.0,22.0,22.0,3870.512655640546,2097.763157604498,2459968.492584861,0.6796459165819687,-7.670978634239965,50.282260296949744,0.04295595099335732
138,,1385.442360233099,1609.280432885169,30.0,0.1585491448640823,2023-01-23 23:51:32.037,1182.3887289408367,44.0,44.0,44.0,3870.4314125124615,2097.7450936303817,2459968.4941207985,0.6846217415648543,-7.68190070295221,38.44753223774546,0.03251682910762021
139,,1385.442360233099,1615.3609126114416,30.0,0.1587031781673431,2023-01-23 23:53:45.461,1188.7762572892368,40.0,40.0,40.0,3869.3718648297777,2096.760822982805,2459968.495665058,0.6896245259648239,-7.687750306503816,32.06000388934535,0.026968913361755466
140,,1385.442360233099,1624.5874002471685,30.0,0.196018174290657,2023-01-23 23:55:57.419,1186.447844437458,21.0,21.0,21.0,3870.639290645464,2097.637473557086,2459968.4971923498,0.6945723415751508,-7.6856216290954364,34.388416741124274,0.028984347607314498
141,,1385.4423602330987,1712.8377444336363,30.0,0.1860128939151764,2023-01-23 23:58:09.114,1251.2567305444654,23.0,23.0,23.0,3869.751640874842,2097.3424036583474,2459968.4987165974,0.6995102957502206,-7.743366066439137,-30.420469365883264,-0.024311932654017578
142,,1385.4423602330987,1792.1310279431918,30.0,0.1994999051094055,2023-01-24 00:00:20.344,1326.1409667783842,19.0,19.0,19.0,3870.079730227801,2098.049265568061,2459968.500235463,0.704430814026759,-7.806474228422289,-105.30470559980199,-0.07940687169601617
143,,1385.4423602330985,1825.639207542674,30.0,0.1990824937820434,2023-01-24 00:02:33.048,1360.8992655377074,26.0,26.0,26.0,3870.386428170717,2097.2903706306674,2459968.501771389,0.7094066012957266,-7.8345649492313125,-140.06300435912522,-0.10291945032668136
155,,1385.442360233099,2817.8129286100266,45.0,0.2707007527351379,2023-01-23 18:47:13.208,1443.3269591975452,30.0,30.0,30.0,3870.155850553535,2097.057277836413,2459968.2827917594,0.0,-7.8984118091799065,-222.49069801896303,-0.15415127986153773
156,,1385.442360233099,2823.8226475281976,45.0,0.2837812900543213,2023-01-23 18:50:19.803,1438.4679161677363,27.0,27.0,27.0,3870.8559667284057,2096.8007668717646,2459968.2849514238,0.006996450717158464,-7.894750449391548,-217.63165498915419,-0.15129406262251086
168,,1385.442360233099,2800.704580488272,45.0,0.2712878286838531,2023-01-23 18:56:22.585,1418.6256564998166,26.0,26.0,26.0,3871.608623089223,2096.6682678207408,2459968.2891502893,0.020599099088764814,-7.87966952499927,-197.78939532123445,-0.13942324701023762
169,,1385.442360233099,2770.9782974445,45.0,0.2365929782390594,2023-01-23 18:59:15.576,1400.4490853265052,26.0,26.0,26.0,3870.373717448205,2096.774050070203,2459968.2911525,0.027085463031865747,-7.8656683106324685,-179.612824147923,-0.12825373377001242
170,,1385.4423602330985,2767.308626620171,45.0,0.27763831615448,2023-01-23 19:02:21.806,1392.123688199304,30.0,30.0,30.0,3870.966040648833,2096.573340009269,2459968.29330794,0.034068228122490406,-7.859194558581509,-171.2874270207219,-0.12304037958170241
171,,1385.442360233099,2763.384264825293,45.0,0.258222222328186,2023-01-23 19:05:23.476,1383.611540911525,32.0,32.0,32.0,3870.7823483933935,2096.9262520538286,2459968.295410602,0.04088001339484546,-7.852535439682219,-162.77527973294286,-0.11764521682560287
172,,1385.442360233099,2733.5254270563782,45.0,0.2644370198249817,2023-01-23 19:08:26.453,1359.3476905407165,15.0,15.0,15.0,3870.372944589889,2096.0814329554432,2459968.2975283912,0.0477408056406989,-7.8333263842344465,-138.51142936213432,-0.10189551232991594
184,,1385.442360233099,2693.2009017235173,45.0,0.2268224358558654,2023-01-23 19:14:33.540,1331.5281199580418,32.0,32.0,32.0,3871.5336974172938,2097.233421230367,2459968.3017770834,0.06150487259810447,-7.810875856365966,-110.69185877945961,-0.08313144658405536
185,,1385.442360233099,2729.986645355325,45.0,0.2506041526794433,2023-01-23 19:17:36.309,1339.8605035710586,27.0,27.0,27.0,3872.246354978379,2095.9912928822614,2459968.3038924653,0.06835786560573262,-7.81764896292148,-119.02424239247648,-0.08883330919543304
186,,1385.442360233099,2635.872555646328,45.0,0.1977499723434448,2023-01-23 19:20:38.349,1275.437298523716,27.0,27.0,27.0,3870.905596002667,2096.398741042825,2459968.30599941,0.07518352507421107,-7.764147783051523,-54.60103734513382,-0.042809660191318724
187,,1385.4423602330987,2617.5919031412222,45.0,0.1975108683109283,2023-01-23 19:23:41.159,1263.2899998351195,34.0,34.0,34.0,3871.687471972185,2096.280664921218,2459968.3081152663,0.08203805530113353,-7.75375764572935,-42.453738656537325,-0.033605695178524526
188,,1385.4423602330987,2650.097789116363,45.0,0.2174322009086609,2023-01-23 19:26:42.221,1270.8454512984497,27.0,27.0,27.0,3870.319999234602,2096.691485188552,2459968.310210891,0.08882704326438598,-7.760231847019669,-50.009190119867526,-0.03935111863426987
189,,1385.442360233099,2612.754183370351,45.0,0.2228152751922607,2023-01-23 19:29:47.428,1251.6204003124824,23.0,23.0,23.0,3871.279044376112,2096.588939747937,2459968.3123544906,0.09577145028337537,-7.7436815828754995,-30.784139133900226,-0.02459542775606293
190,,1385.4423602330987,2550.9429078742687,45.0,0.2149261236190796,2023-01-23 19:32:50.951,1206.6576949757869,19.0,19.0,19.0,3871.121633404607,2097.131261810647,2459968.3144785995,0.102652715152431,-7.703960216943301,14.17856620279531,0.011750280350285936
191,,1385.4423602330987,2511.3104765836288,45.0,0.2181643843650818,2023-01-23 19:38:07.565,1198.4757490863951,21.0,21.0,21.0,3871.534227451802,2096.6711845717928,2459968.3181431135,0.11452427809751217,-7.696573126494654,22.360512092187037,0.018657458950865364
192,,1385.442360233099,2462.4927164954474,45.0,0.1830395460128784,2023-01-23 19:41:09.507,1158.7875095168963,32.0,32.0,32.0,3869.897466306896,2096.922071723739,2459968.3202489237,0.12134626272182877,-7.66000951332378,62.048751661685856,0.05354627242017327
193,,1385.4423602330987,2473.4762564934445,45.0,0.2397260069847107,2023-01-23 19:44:10.370,1154.17459043176,21.0,21.0,21.0,3871.294430794544,2096.828162429467,2459968.3223422454,0.12812778936356048,-7.655678772322128,66.66167074682221,0.057757007734752716
