  oid   |      Identifier       |        ra        |        dec         
2649925 |"BD+00  3384"          |234.58081625848996|0.134700699         
7790    |"BD+44   156"          |11.392068711340004|45.61339141413      
7791    |"BD+44   157"          |11.4268873682     |45.587618314160004  
595354  |"BD+44  1898"          |145.74366334257   |43.83470663107      
595358  |"BD+44  1904"          |146.84048222653   |44.23721154788      
2005266 |"BD+44  2235"          |194.26339332347996|44.00939062754001   
6793787 |"BD+44  2236"          |194.35680846674   |44.0341180704       
2005268 |"BD+44  2237"          |194.35763878349997|43.94248630453      
2005279 |"BD+44  2240"          |194.62619720739   |43.72200473624      
15970   |"BD+44  3978"          |328.46942090614   |45.55201510013999   
7778    |"BD+45   188"          |11.08825670293    |45.92021550789      
7780    |"BD+45   197"          |11.703365010539999|46.18056030183      
595351  |"BD+45  1761"          |146.63217547064   |44.37579514285999   
607695  |"BD+45  2071"          |193.85999890022   |44.55988620545      
607761  |"BD+45  2072"          |193.93916054855   |44.67739052777      
607696  |"BD+45  2073"          |194.0108927168    |44.44701599918      
607697  |"BD+45  2074"          |194.01380339374   |44.257819752859994  
496339  |"BD+45  2340"          |237.42157054439997|44.58993396025001   
496340  |"BD+45  2341"          |237.66241604714997|45.01037910206      
496341  |"BD+45  2344"          |237.96043136181999|44.69770541199      
471025  |"BD+45  2347"          |238.75276853403994|44.98900073738      
260168  |"BD+45  2773"          |281.91881467402   |45.41093565458      
260062  |"BD+45  2776"          |282.09585416168   |45.38953598946001   
260523  |"BD+45  2778"          |282.19897358958   |45.339844027939996  
9221829 |"CRTS J165001.1+532913"|252.50480578027998|53.48740575316      
1820303 |"Feige  43"            |172.29549538886   |38.14768612762      
503014  |"Feige  55"            |181.16056647756997|60.53557971312      
1577313 |"GD 10"                |16.72481088788    |39.51579086332      
1546045 |"GD 11"                |17.34667576891    |37.54610508251999   
613993  |"GD 111"               |151.45423862972   |42.8009666566       
1596611 |"GD 13"                |22.427715918689998|42.471697785180005  
2047200 |"GD 153"               |194.25967704565   |22.031287438399996  
1511805 |"GD 2"                 |1.8844150667400001|33.291001652720006  
1501084 |"GD 251"               |353.58695270535   |29.31033147041      
107213  |"GD 273"               |16.585077872639996|56.0823589884       
83516   |"GD 275"               |19.72580724797    |52.45381164814      
25000   |"GD 276"               |20.96103038252    |47.78730375536      
46947   |"GD 277"               |22.349976953980004|51.146380104159995  
83518   |"GD 278"               |22.741951237120002|53.36103048006      
11682724|"GD 279"               |28.01234168009    |47.00184754237999   
109935  |"GD 281"               |30.80383298685    |54.80797670196      
174161  |"GD 283"               |38.87797229243    |57.25680454748      
507920  |"GD 299"               |144.58480253652   |55.0972478088       
11684328|"GD 300"               |148.83111550184   |51.61639288223      
8342352 |"GD 325"               |204.00759371026996|48.479513631140016  
2266205 |"GD 336"               |217.98598666414   |37.108382953559996  
4015980 |"GD 358"               |251.82663549326003|32.47579522344      
2921859 |"GD 363"               |264.6485917500099 |41.87532889694      
2923302 |"GD 378"               |275.90421453005   |41.067252074020004  
29527   |"GD 38"                |45.629031565800005|38.01640479785      
30256   |"GD 391"               |307.48408200518   |39.22561086593      
19837   |"GD 405"               |349.18282822347   |47.454306786560004  
129928  |"GD 410"               |8.85292842302     |60.96978924893      
204971  |"GD 418"               |20.850223002299998|64.90479264942      
223704  |"GD 421"               |27.79283617017    |67.65868100732      
715907  |"GD 61"                |69.66405859469    |41.15898721037      
740973  |"GD 64"                |74.34391835745    |41.93235553817      
1512722 |"GD 8"                 |9.967357647820002 |31.541425850110006  
598225  |"GD 98"                |134.37689107575   |40.2702886066       
2649968 |"GSC 00351-00168"      |234.74589550026002|0.25861540227999996 
2649969 |"GSC 00351-00250"      |234.5287557136    |0.27203145551       
2649970 |"GSC 00351-00306"      |234.81745703830003|0.14848613566       
1868247 |"GSC 04932-00166"      |179.2534439618    |-0.43373164925      
1868249 |"GSC 04932-00294"      |179.33470689695   |-0.35025792179      
1868253 |"GSC 04932-00627"      |179.25783323946   |-0.44971152975000006
2636554 |"GSC 05049-00421"      |249.52010561477   |-0.58523251855      
2636555 |"GSC 05049-00599"      |249.44087994279   |-0.47326925000000003
7779    |"HD   4297"            |11.465920938869997|45.8957795051       
7781    |"HD   4461"            |11.80185239329    |46.18250656301      
384987  |"HD  47881"            |100.74464771419   |44.64792202162      
384988  |"HD  47913"            |100.78055933637002|44.84242574932999   
384991  |"HD  48028"            |100.90434732078002|44.722425482750005  
384992  |"HD  48051"            |100.92389074628   |44.51260711587      
898643  |"HD  48052"            |100.90930335068   |44.41976077041      
384993  |"HD  48209"            |101.13217370871   |44.56829807885      
595353  |"HD  83697"            |145.39219556609   |44.20704318471      
595349  |"HD  84219"            |146.22097594761   |44.41875891421      
607694  |"HD 112297"            |193.79307111876997|44.29134248758      
496344  |"HD 141930"            |237.45816032106055|44.522079034160505  
471023  |"HD 142592"            |238.37026206751   |44.95854021125      
471024  |"HD 142741"            |238.58260819684   |44.91854706206001   
260065  |"HD 174600"            |282.27964724208   |45.32132478193      
151821  |"IRAS 03415+4454"      |56.24734422651999 |45.06330802395      
397670  |"IRAS 06415+4434"      |101.30510353496001|44.515701585360006  
1666086 |"KUV 10022+3901"       |151.29116853872   |38.77088651064      
1819548 |"KUV 11337+3946"       |174.10162806429   |39.492744454850005  
151859  |"LS   V +45    3"      |55.98515654437    |45.16151727733      
386468  |"MCG+09-27-100"        |252.54843264992996|53.44705590866      
5200102 |"NSVS   4818255"       |130.24333638219   |39.94105497594      
578866  |"PG 0837+401"          |130.25547596571   |39.93836896773      
578901  |"PG 0839+399"          |130.80294612902   |39.74716900373      
466846  |"PG 0846+558"          |132.4629583243    |55.58739672895      
615126  |"PG 0953+414"          |149.21830481458   |41.25616979101      
1666101 |"PG 1000+408"          |150.97612611294   |40.57170042543      
610763  |"PG 1126+469"          |172.36944316546   |46.59214692179      
568708  |"PG 1210+533"          |183.35266041960998|53.06589761909001   
606765  |"PG 1314+442"          |199.13796327224998|43.984849719340005  
500806  |"PG 1343+578"          |206.25589501965   |57.50355717255      
582070  |"PG 1430+427"          |218.14120713925996|42.50530692146      
2885719 |"PG 1636+351"          |249.60966041064998|35.0033029486       
386384  |"PG 1648+536"          |252.49937730603   |53.52547752705001   
2649942 |"TYC  350-676-1"       |234.35762288881995|0.30939625417       
2649966 |"TYC  351-14-1"        |234.73310288019997|0.16337637547999997 
6777379 |"TYC 2902-2791-1"      |74.35941067864    |41.93116422962      
385062  |"TYC 2953-1150-1"      |100.71385392437   |44.855125596209994  
6786150 |"TYC 2953-1248-1"      |101.16579292003001|44.80712670978001   
385063  |"TYC 2953-1251-1"      |100.59625219535   |44.798437868600004  
385064  |"TYC 2953-1690-1"      |100.66421269812   |44.52980997423      
6786132 |"TYC 2953-989-1"       |100.78865301295   |44.66771686047001   
6790759 |"TYC 2998-453-1"       |145.50526705457   |44.19621007402      
595581  |"TYC 2998-498-1"       |145.53494386532   |44.54919053903      
595587  |"TYC 2998-959-1"       |145.70531813366   |43.82662773101      
595600  |"TYC 2999-181-1"       |146.8330926102    |44.40792884721      
6790860 |"TYC 2999-381-1"       |146.72335387672   |44.41825131251      
6790842 |"TYC 2999-77-1"        |146.7689123177    |44.37532198912      
2005569 |"TYC 3023-1691-1"      |194.65271037598   |43.72646691673      
2005566 |"TYC 3023-1747-1"      |194.32141575568997|44.01680343165      
2005564 |"TYC 3023-1899-1"      |194.16806596097   |43.94271292845      
6793798 |"TYC 3023-1974-1"      |194.15329916199997|44.249890420250004  
607771  |"TYC 3023-2287-1"      |193.78576784061   |44.38707177032      
6793813 |"TYC 3023-2325-1"      |193.95883228684997|44.70630162479999   
582075  |"TYC 3042-267-1"       |218.08579009302997|42.5066850806       
6795401 |"TYC 3042-464-1"       |218.16431620197997|42.51111243231001   
6795424 |"TYC 3042-692-1"       |218.19480932678997|42.53867015052      
6797081 |"TYC 3060-1007-1"      |237.63826882190995|44.96839287217      
496484  |"TYC 3060-1198-1"      |237.98833614158002|44.59060935745      
6797048 |"TYC 3060-193-1"       |237.45491291666667|44.464868611111115  
496479  |"TYC 3060-534-1"       |237.50755607907996|44.551314506329994  
6802137 |"TYC 3108-79-1"        |275.9588308508    |41.11220802527      
6813104 |"TYC 3152-125-1"       |307.40492747283   |39.28821568674999   
6813332 |"TYC 3152-2107-1"      |307.43183497470994|39.28832597288      
6813130 |"TYC 3152-273-1"       |307.48043384272   |39.2369622469       
6813443 |"TYC 3153-533-1"       |307.51217944992   |39.25103526578      
7950    |"TYC 3249-769-1"       |11.18515651263    |45.83082572615      
7953    |"TYC 3249-846-1"       |11.20634053479    |45.74940459606001   
8039    |"TYC 3262-1236-1"      |11.79784742596    |45.889666178709994  
8041    |"TYC 3262-1341-1"      |11.48592936747    |46.07593596309      
8047    |"TYC 3262-1655-1"      |11.589619785410001|46.10840022359      
8049    |"TYC 3262-1757-1"      |11.407977292210001|45.94857478806001   
8052    |"TYC 3262-1889-1"      |11.605284875869998|46.047376818400004  
6838328 |"TYC 3262-819-1"       |11.3076366935     |45.79669227798      
8036    |"TYC 3262-924-1"       |11.49907869127    |45.80364248567      
8037    |"TYC 3262-956-1"       |11.64378529853    |45.84738081115      
6838341 |"TYC 3262-969-1"       |11.7850749067     |45.904609389860006  
25882   |"TYC 3283-1238-1"      |27.981337539290003|47.02703620639      
6842623 |"TYC 3283-1242-1"      |28.010040376950002|47.02819460425      
151601  |"TYC 3313-1032-1"      |56.22255001108999 |45.50719269289      
151947  |"TYC 3313-281-1"       |56.17557270578    |45.07876159122001   
151948  |"TYC 3313-312-1"       |56.02136446842    |45.100832092740006  
151586  |"TYC 3313-518-1"       |56.09587952001999 |45.39381839925001   
6848504 |"TYC 3313-692-1"       |56.15400401427    |45.29975230323      
6848509 |"TYC 3313-753-1"       |56.23477631168    |45.31665659893      
6848518 |"TYC 3313-858-1"       |56.182920930790004|45.30035361896      
151950  |"TYC 3326-163-1"       |56.44064043982    |45.42612361859      
151951  |"TYC 3326-201-1"       |56.26841500283    |45.29678734239      
6849675 |"TYC 3326-421-1"       |56.41369829999999 |45.4701934          
151953  |"TYC 3326-641-1"       |56.48490725813    |45.24553394529      
610860  |"TYC 3451-1122-1"      |172.30942183481   |46.57293438193      
6867361 |"TYC 3466-388-1"       |204.11572229799   |48.49184911965      
260236  |"TYC 3540-209-1"       |282.41993839092993|45.15194717002      
260237  |"TYC 3540-212-1"       |281.8940836699321 |45.181558824513     
260503  |"TYC 3540-2639-1"      |282.13543733699   |45.41967868958      
260293  |"TYC 3540-2710-1"      |282.22439963399   |45.42498702230999   
260520  |"TYC 3540-2721-1"      |282.19621077248996|45.405499145360004  
6875398 |"TYC 3540-301-1"       |282.71039214979   |45.16011444232999   
260575  |"TYC 3540-3091-1"      |282.40717340278   |45.24000446689      
260538  |"TYC 3540-36-1"        |282.2683468953    |45.23716590758      
260240  |"TYC 3540-424-1"       |282.70364171894994|45.14541321331      
260234  |"TYC 3540-70-1"        |282.44412939125   |45.22562194423001   
6892177 |"TYC 3604-12-1"        |328.54352943731   |45.27531158007      
6892189 |"TYC 3604-146-1"       |328.63168757307   |45.23094536706001   
16349   |"TYC 3604-160-1"       |328.57580395673   |45.2562734058       
16353   |"TYC 3604-222-1"       |328.5524358613    |45.24348313301      
16362   |"TYC 3604-362-1"       |328.52069897386997|45.22043473915001   
6936232 |"TYC 3834-178-1"       |183.32801300782998|53.04825767711      
503164  |"TYC 4154-408-1"       |181.32502794730996|60.61330036651      
1868218 |"TYC 4932-345-1"       |179.19232283325   |-0.3874215986800001 
1868251 |"TYC 4932-504-1"       |179.12861400413   |-0.54376762805      
2636551 |"TYC 5049-241-1"       |249.45732677234997|-0.37195048738      
9221705 |"UCAC4 608-001920"     |9.920698227859999 |31.545702603319995  
9221704 |"UCAC4 609-001876"     |9.9047749556      |31.617606228550002  
9221706 |"UCAC4 609-001882"     |9.93691813687     |31.610123073990003  
9221826 |"UCAC4 612-053329"     |251.84676860086998|32.39365544305001   
9221825 |"UCAC4 613-056337"     |251.84297997117   |32.42536057693      
9221699 |"UCAC4 617-000374"     |1.8561768055099999|33.31671818572      
9221700 |"UCAC4 617-000376"     |1.8590552031899996|33.30533139991      
9221701 |"UCAC4 617-000382"     |1.8848107960000002|33.33741771828001   
9221702 |"UCAC4 617-000386"     |1.90279583751     |33.29494485107      
9221703 |"UCAC4 617-000392"     |1.92347344069     |33.29926896255      
9221824 |"UCAC4 625-052116"     |249.61588865426998|34.99628877998      
9221811 |"UCAC4 636-050218"     |217.94301526801   |37.12964144291      
9221812 |"UCAC4 636-050220"     |217.96199920536998|37.08818078614      
9221813 |"UCAC4 636-050222"     |218.0144369363    |37.07221653926      
9221788 |"UCAC4 641-047820"     |172.35829960678   |38.10333239721001   
9221789 |"UCAC4 641-047822"     |172.37457786787   |38.153915812339996  
9221790 |"UCAC4 641-047825"     |172.39772840829   |38.13682632842      
9221783 |"UCAC4 644-047205"     |151.27884263694   |38.78727434164      
9221784 |"UCAC4 644-047208"     |151.32206759484   |38.79309362074      
9221785 |"UCAC4 645-048159"     |151.32718543785   |38.80318217549      
9221848 |"UCAC4 647-088844"     |307.4395667218    |39.30395807386      
9221532 |"UCAC4 647-088846"     |307.44160687234   |39.27637586092      
9221849 |"UCAC4 647-088850"     |307.46332         |39.238991           
9221850 |"UCAC4 647-088853"     |307.47515359927   |39.2287331497       
9221713 |"UCAC4 648-004232"     |16.74419248571    |39.51475602646      
9221714 |"UCAC4 648-004235"     |16.75153454247    |39.52640549791      
9221715 |"UCAC4 648-004238"     |16.77240950604    |39.52454612054      
9221764 |"UCAC4 649-046824"     |130.79088677758   |39.77087056478      
9221762 |"UCAC4 650-048271"     |130.25066377014   |39.93180156411      
9221763 |"UCAC4 650-048273"     |130.26873473222   |39.95154757885      
9221767 |"UCAC4 652-048948"     |134.29079042348   |40.30977039286      
9221768 |"UCAC4 652-048951"     |134.32422594754   |40.29831506986      
9221781 |"UCAC4 653-052684"     |150.97292645158   |40.53387835194      
9221782 |"UCAC4 653-052693"     |151.02630422117   |40.59041681411      
9221741 |"UCAC4 656-023484"     |69.61326973543    |41.16880495089999   
9221742 |"UCAC4 656-023493"     |69.62134643509    |41.18345495259      
9221743 |"UCAC4 656-023535"     |69.67306707087    |41.18088333817      
9221835 |"UCAC4 656-064727"     |275.87875868928   |41.06951878582001   
9221533 |"UCAC4 657-052454"     |149.23824394463   |41.28053181204      
9221780 |"UCAC4 657-052455"     |149.24329628522   |41.21769363204      
9221744 |"UCAC4 660-028861"     |74.28464731272    |41.92024173243      
9221745 |"UCAC4 660-028892"     |74.32638710462    |41.924475732270004  
9221746 |"UCAC4 660-028906"     |74.33904265952    |41.90654093514001   
9221747 |"UCAC4 660-028922"     |74.35547270554    |41.92516204372      
9221748 |"UCAC4 660-028940"     |74.36960860091    |41.93068017865      
9221831 |"UCAC4 660-062324"     |264.61050129794995|41.88903187537001   
9221832 |"UCAC4 660-062339"     |264.6407941447    |41.891852511319996  
9221833 |"UCAC4 660-062340"     |264.64598685284   |41.89948840136      
9221834 |"UCAC4 660-062349"     |264.69952079014   |41.90254076797      
9221719 |"UCAC4 663-006350"     |22.419863604689997|42.465262400680004  
9221786 |"UCAC4 664-055399"     |151.4383809853    |42.78040739552999   
9221787 |"UCAC4 664-055402"     |151.51149306901   |42.76197256419      
9221800 |"UCAC4 670-057695"     |194.12160683709996|43.901999648609994  
9221801 |"UCAC4 670-057697"     |194.1333311627    |43.94586522996      
9221802 |"UCAC4 670-057698"     |194.14290441627998|43.90944900878      
9221807 |"UCAC4 670-057946"     |199.13322868943996|43.97075535724      
9221798 |"UCAC4 671-056966"     |194.03728563663998|44.01528034908      
9221799 |"UCAC4 671-056967"     |194.04757097076998|44.00901088318      
9221804 |"UCAC4 671-056976"     |194.14674590512   |44.04041725533      
9221805 |"UCAC4 671-056978"     |194.23035641937   |44.08350472139      
9221806 |"UCAC4 671-056981"     |194.25201899519   |44.084106197980006  
9221797 |"UCAC4 672-055958"     |193.78147753033   |44.38725524464      
9221803 |"UCAC4 672-055984"     |194.14315966194   |44.25068644232001   
9221758 |"UCAC4 673-048807"     |101.31735911792002|44.53462074056      
9221759 |"UCAC4 673-048808"     |101.32163135176002|44.46198483704      
9221814 |"UCAC4 673-060759"     |237.97660828703   |44.54141944149      
9221815 |"UCAC4 673-060761"     |237.98634777590996|44.5568388586       
9221816 |"UCAC4 673-060765"     |238.01737616699   |44.41619214962      
9221817 |"UCAC4 673-060766"     |238.02103164000994|44.43351746717      
9221818 |"UCAC4 673-060767"     |238.02110794522   |44.50037825087      
9221819 |"UCAC4 673-060768"     |238.05362219572996|44.475229348869995  
