,file,time
77,Reduced_star_Light_Blue_45_secs_001.fits,2023-01-23 18:45:01
78,Reduced_star_Light_Blue_45_secs_002.fits,2023-01-23 18:48:07
79,Reduced_star_Light_Blue_45_secs_003.fits,2023-01-23 18:51:14
80,Reduced_star_Light_Blue_45_secs_004.fits,2023-01-23 18:54:19
81,Reduced_star_Light_Blue_45_secs_005.fits,2023-01-23 18:57:12
82,Reduced_star_Light_Blue_45_secs_006.fits,2023-01-23 19:00:05
83,Reduced_star_Light_Blue_45_secs_007.fits,2023-01-23 19:03:14
84,Reduced_star_Light_Blue_45_secs_008.fits,2023-01-23 19:06:16
85,Reduced_star_Light_Blue_45_secs_009.fits,2023-01-23 19:09:19
86,Reduced_star_Light_Blue_45_secs_010.fits,2023-01-23 19:12:23
87,Reduced_star_Light_Blue_45_secs_011.fits,2023-01-23 19:15:27
88,Reduced_star_Light_Blue_45_secs_012.fits,2023-01-23 19:18:28
89,Reduced_star_Light_Blue_45_secs_013.fits,2023-01-23 19:21:30
90,Reduced_star_Light_Blue_45_secs_014.fits,2023-01-23 19:24:33
91,Reduced_star_Light_Blue_45_secs_015.fits,2023-01-23 19:27:34
92,Reduced_star_Light_Blue_45_secs_016.fits,2023-01-23 19:30:40
93,Reduced_star_Light_Blue_45_secs_017.fits,2023-01-23 19:33:43
94,Reduced_star_Light_Blue_45_secs_018.fits,2023-01-23 19:39:00
95,Reduced_star_Light_Blue_45_secs_019.fits,2023-01-23 19:42:02
96,Reduced_star_Light_Blue_45_secs_020.fits,2023-01-23 19:45:02
97,Reduced_star_Light_Blue_45_secs_021.fits,2023-01-23 19:48:05
98,Reduced_star_Light_Blue_45_secs_022.fits,2023-01-23 19:51:07
99,Reduced_star_Light_Blue_45_secs_023.fits,2023-01-23 19:54:09
100,Reduced_star_Light_Blue_45_secs_024.fits,2023-01-23 19:57:10
101,Reduced_star_Light_Blue_45_secs_025.fits,2023-01-23 20:00:13
102,Reduced_star_Light_Blue_45_secs_026.fits,2023-01-23 20:03:15
103,Reduced_star_Light_Blue_45_secs_027.fits,2023-01-23 20:06:16
104,Reduced_star_Light_Blue_45_secs_028.fits,2023-01-23 20:09:17
105,Reduced_star_Light_Blue_45_secs_029.fits,2023-01-23 20:12:19
106,Reduced_star_Light_Blue_45_secs_030.fits,2023-01-23 20:15:21
107,Reduced_star_Light_Blue_45_secs_031.fits,2023-01-23 20:18:23
108,Reduced_star_Light_Blue_45_secs_032.fits,2023-01-23 20:21:25
109,Reduced_star_Light_Blue_45_secs_033.fits,2023-01-23 20:24:25
110,Reduced_star_Light_Blue_45_secs_034.fits,2023-01-23 20:27:28
111,Reduced_star_Light_Blue_45_secs_035.fits,2023-01-23 20:30:30
0,Reduced_star_Light_Blue_30_secs_001.fits,2023-01-23 20:56:39
1,Reduced_star_Light_Blue_30_secs_002.fits,2023-01-23 20:58:53
2,Reduced_star_Light_Blue_30_secs_003.fits,2023-01-23 21:01:05
3,Reduced_star_Light_Blue_30_secs_004.fits,2023-01-23 21:03:19
4,Reduced_star_Light_Blue_30_secs_005.fits,2023-01-23 21:05:30
5,Reduced_star_Light_Blue_30_secs_006.fits,2023-01-23 21:07:42
6,Reduced_star_Light_Blue_30_secs_007.fits,2023-01-23 21:09:57
7,Reduced_star_Light_Blue_30_secs_008.fits,2023-01-23 21:12:09
8,Reduced_star_Light_Blue_30_secs_009.fits,2023-01-23 21:14:20
9,Reduced_star_Light_Blue_30_secs_010.fits,2023-01-23 21:16:31
10,Reduced_star_Light_Blue_30_secs_011.fits,2023-01-23 21:18:44
11,Reduced_star_Light_Blue_30_secs_012.fits,2023-01-23 21:20:58
12,Reduced_star_Light_Blue_30_secs_013.fits,2023-01-23 21:23:10
13,Reduced_star_Light_Blue_30_secs_014.fits,2023-01-23 21:25:22
14,Reduced_star_Light_Blue_30_secs_015.fits,2023-01-23 21:27:33
15,Reduced_star_Light_Blue_30_secs_016.fits,2023-01-23 21:29:44
16,Reduced_star_Light_Blue_30_secs_017.fits,2023-01-23 21:31:56
17,Reduced_star_Light_Blue_30_secs_018.fits,2023-01-23 21:34:09
18,Reduced_star_Light_Blue_30_secs_019.fits,2023-01-23 21:36:21
19,Reduced_star_Light_Blue_30_secs_020.fits,2023-01-23 21:38:33
20,Reduced_star_Light_Blue_30_secs_021.fits,2023-01-23 21:40:43
21,Reduced_star_Light_Blue_30_secs_022.fits,2023-01-23 21:42:56
22,Reduced_star_Light_Blue_30_secs_023.fits,2023-01-23 21:45:07
23,Reduced_star_Light_Blue_30_secs_024.fits,2023-01-23 21:47:18
24,Reduced_star_Light_Blue_30_secs_025.fits,2023-01-23 21:49:30
25,Reduced_star_Light_Blue_30_secs_026.fits,2023-01-23 21:51:41
26,Reduced_star_Light_Blue_30_secs_027.fits,2023-01-23 21:53:55
27,Reduced_star_Light_Blue_30_secs_028.fits,2023-01-23 21:56:06
28,Reduced_star_Light_Blue_30_secs_029.fits,2023-01-23 21:58:17
29,Reduced_star_Light_Blue_30_secs_030.fits,2023-01-23 22:00:29
30,Reduced_star_Light_Blue_30_secs_031.fits,2023-01-23 22:02:42
31,Reduced_star_Light_Blue_30_secs_032.fits,2023-01-23 22:04:58
32,Reduced_star_Light_Blue_30_secs_033.fits,2023-01-23 22:20:41
33,Reduced_star_Light_Blue_30_secs_034.fits,2023-01-23 22:22:54
34,Reduced_star_Light_Blue_30_secs_035.fits,2023-01-23 22:25:08
